country,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,points,price,positivity,subjectivity,acidic,sweet,spicy,dry,fruity,tannins
Albania,4753.0,4753.0,4753.0,88.0,20.0,-0.06190476190476193,0.2309523809523809,0.0,0.0,0.0,0.0,0.0,1.0
Argentina,80834.27561711952,80834.27561711952,80834.27561711952,85.9960930562955,20.794880973688922,0.11858515405839014,0.47269481971155514,0.016870893269401527,0.12395666844255017,0.03303143313798615,0.03906943704492985,0.01882436512164802,0.05132303320902149
Australia,90585.52693161186,90585.52693161186,90585.52693161186,87.89247528747227,31.258479771148345,0.14697932100944897,0.4872485885811086,0.00342949364535001,0.04760944119427073,0.02360298567682066,0.03026023804720597,0.01896308250958241,0.12225136171071213
Austria,70144.8298985934,70144.8298985934,70144.8298985934,89.27674190382729,31.192106322996377,0.21686248395836255,0.5289534709359102,0.002944062806673209,0.04939483153418384,0.05135754007196598,0.04939483153418384,0.05266601243048741,0.08112528622832843
Bosnia and Herzegovina,56937.75,56937.75,56937.75,84.75,12.75,0.15555555555555556,0.4754960317460317,0.0,0.5,0.0,0.0,0.5,0.25
Brazil,82272.8,82272.8,82272.8,83.24,19.92,-0.0989579365079365,0.45807063492063493,0.0,0.08,0.0,0.16,0.0,0.36
Bulgaria,68737.7012987013,68737.7012987013,68737.7012987013,85.46753246753246,11.545454545454545,0.17981637650468818,0.5366857036662233,0.03896103896103896,0.05194805194805195,0.06493506493506493,0.06493506493506493,0.012987012987012988,0.22077922077922077
Canada,61933.2806122449,61933.2806122449,61933.2806122449,88.23979591836735,34.628865979381445,0.20587802441255434,0.5301441279302979,0.0,0.11734693877551021,0.12244897959183673,0.030612244897959183,0.01020408163265306,0.030612244897959183
Chile,81852.92331499312,81852.92331499312,81852.92331499312,86.29676753782668,19.344779743322928,0.12157822862827995,0.4650959370948491,0.026306740027510316,0.09731774415405778,0.044188445667125174,0.04590784044016506,0.02235213204951857,0.053988995873452544
China,74881.66666666667,74881.66666666667,74881.66666666667,82.0,20.333333333333332,0.22962962962962963,0.4593253968253969,0.0,0.0,0.0,0.0,0.0,0.0
Croatia,71016.4382022472,71016.4382022472,71016.4382022472,86.28089887640449,23.10843373493976,0.18474739705779034,0.5112205769158017,0.033707865168539325,0.07865168539325842,0.06741573033707865,0.06741573033707865,0.011235955056179775,0.19101123595505617
Cyprus,90992.93548387097,90992.93548387097,90992.93548387097,85.87096774193549,15.483870967741936,0.1617875762230601,0.4686146604291766,0.0,0.3870967741935484,0.3548387096774194,0.0,0.0,0.06451612903225806
Czech Republic,73716.5,73716.5,73716.5,85.83333333333333,18.0,0.06050925925925926,0.5055092592592593,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666
Egypt,119294.66666666667,119294.66666666667,119294.66666666667,83.66666666666667,,0.20231481481481486,0.3875,0.0,0.0,0.0,0.0,0.0,0.0
England,29927.333333333332,29927.333333333332,29927.333333333332,92.88888888888889,47.5,0.1862038702038702,0.5120462962962963,0.0,0.1111111111111111,0.0,0.0,0.0,0.0
France,70899.1487344772,70899.1487344772,70899.1487344772,88.92586975068727,45.61988501859993,0.1960020217701943,0.5248465259928964,0.0015641293013555788,0.0740354535974974,0.031614371030429425,0.09214143520712864,0.0693904635510475,0.17797895535121813
Georgia,76402.3953488372,76402.3953488372,76402.3953488372,85.51162790697674,18.58139534883721,0.17443948063134113,0.5625947598912716,0.0,0.06976744186046512,0.0,0.13953488372093023,0.023255813953488372,0.32558139534883723
Germany,65515.59380097879,65515.59380097879,65515.59380097879,88.62642740619903,39.011077971879,0.16174776285872847,0.5377526123783795,0.0024469820554649264,0.15783034257748776,0.022430668841761828,0.1231647634584013,0.05791190864600326,0.01101141924959217
Greece,84352.39140271493,84352.39140271493,84352.39140271493,86.11764705882354,21.74770642201835,0.1738473389919364,0.459941384043728,0.005656108597285068,0.06447963800904978,0.17081447963800905,0.07918552036199095,0.02828054298642534,0.07805429864253394
Hungary,85521.54978354978,85521.54978354978,85521.54978354978,87.32900432900433,44.20434782608696,0.18538255528659328,0.5173275517343237,0.0,0.10822510822510822,0.12554112554112554,0.06926406926406926,0.030303030303030304,0.04329004329004329
India,17314.875,17314.875,17314.875,87.625,13.875,0.1836982709750567,0.5107320011337869,0.0,0.0,0.0,0.0,0.0,0.125
Israel,65733.33174603175,65733.33174603175,65733.33174603175,87.17619047619047,31.304918032786887,0.14140685574694292,0.47847706786480226,0.004761904761904762,0.21587301587301588,0.03492063492063492,0.009523809523809525,0.014285714285714285,0.33174603174603173
Italy,71813.17970014481,71813.17970014481,71813.17970014481,88.41366385552432,37.54791311754685,0.16913722659794686,0.4896719218520401,0.0037907828605503024,0.09992333248147202,0.03684300195928103,0.022787290229150693,0.019592810290484708,0.11593832524065083
Japan,44632.0,44632.0,44632.0,85.0,24.0,0.3071428571428572,0.4214285714285714,0.0,1.0,1.0,0.0,0.0,0.0
Lebanon,69751.37837837837,69751.37837837837,69751.37837837837,85.70270270270271,25.43243243243243,0.14175248925248923,0.5046945434445436,0.0,0.05405405405405406,0.05405405405405406,0.10810810810810811,0.02702702702702703,0.21621621621621623
Lithuania,44663.5,44663.5,44663.5,84.25,10.0,0.2552083333333333,0.4939583333333334,0.0,0.5,0.25,0.0,0.0,0.0
Luxembourg,105667.66666666667,105667.66666666667,105667.66666666667,87.0,40.666666666666664,0.2620436507936507,0.46376984126984133,0.0,0.0,0.0,0.0,0.0,0.0
Macedonia,74540.9375,74540.9375,74540.9375,84.8125,15.3125,0.07114459325396823,0.38414434523809526,0.0,0.0,0.0,0.0625,0.0,0.125
Mexico,67781.95238095238,67781.95238095238,67781.95238095238,84.76190476190476,29.095238095238095,0.09162319052200002,0.48848502981439496,0.047619047619047616,0.19047619047619047,0.047619047619047616,0.047619047619047616,0.015873015873015872,0.07936507936507936
Moldova,81078.43661971831,81078.43661971831,81078.43661971831,84.71830985915493,15.366197183098592,0.1416205397367369,0.4080626350696774,0.014084507042253521,0.11267605633802817,0.056338028169014086,0.028169014084507043,0.028169014084507043,0.15492957746478872
Montenegro,65087.0,65087.0,65087.0,82.0,10.0,0.041666666666666664,0.3547619047619048,0.0,0.0,0.0,0.0,0.0,0.0
Morocco,20466.583333333332,20466.583333333332,20466.583333333332,88.16666666666667,18.833333333333332,0.14064960117043449,0.4450597242263909,0.0,0.08333333333333333,0.0,0.0,0.0,0.5833333333333334
New Zealand,93720.51626506024,93720.51626506024,93720.51626506024,87.55421686746988,24.173289902280132,0.14437476452979864,0.49836302865790366,0.0033132530120481927,0.03493975903614458,0.025602409638554216,0.03644578313253012,0.02108433734939759,0.06325301204819277
Portugal,69755.57985719654,69755.57985719654,69755.57985719654,88.05768508079669,26.332614942528735,0.20052559560254737,0.5330936297076093,0.00018789928598271326,0.10916948515595641,0.04321683577602405,0.11311537016159338,0.10146561443066517,0.2309282224727546
Romania,83545.6690647482,83545.6690647482,83545.6690647482,84.92086330935251,16.39568345323741,0.1650412372233416,0.4693572732604078,0.0,0.08633093525179857,0.07913669064748201,0.07913669064748201,0.03597122302158273,0.16546762589928057
Serbia,15501.142857142857,15501.142857142857,15501.142857142857,87.71428571428571,24.285714285714285,0.06515615337043909,0.3367176870748299,0.0,0.0,0.0,0.0,0.07142857142857142,0.14285714285714285
Slovakia,100730.66666666667,100730.66666666667,100730.66666666667,83.66666666666667,15.333333333333334,0.2540343915343916,0.6023809523809524,0.0,0.0,0.0,0.0,0.0,0.0
Slovenia,46228.15957446808,46228.15957446808,46228.15957446808,88.23404255319149,28.061728395061728,0.15513400916459424,0.5125668424365232,0.031914893617021274,0.1276595744680851,0.031914893617021274,0.06382978723404255,0.05319148936170213,0.06382978723404255
South Africa,85003.82462356068,85003.82462356068,85003.82462356068,87.22542072630647,21.13053196244971,0.17499510132195362,0.4862351586484347,0.006643046944198406,0.14260407440212577,0.11160318866253321,0.03720106288751107,0.0354295837023915,0.1616474756421612
South Korea,44915.0,44915.0,44915.0,81.5,13.5,0.257175925925926,0.5680555555555555,0.0,0.0,1.0,1.0,0.0,0.0
Spain,74946.79680696662,74946.79680696662,74946.79680696662,86.64658925979681,27.048529411764704,0.12002818919898194,0.46642982332702243,0.0349540396710208,0.09421867440735365,0.033381712626995644,0.07027092404450895,0.02177068214804064,0.0511611030478955
Switzerland,65241.0,65241.0,65241.0,87.25,26.5,0.10759920634920635,0.44522817460317454,0.0,0.0,0.0,0.0,0.25,0.25
Tunisia,139035.0,139035.0,139035.0,86.0,,0.0775,0.35,0.0,0.0,0.0,0.0,0.0,0.0
Turkey,22022.30769230769,22022.30769230769,22022.30769230769,88.09615384615384,25.8,0.23078838522588524,0.49277277930402963,0.0,0.0,0.019230769230769232,0.038461538461538464,0.038461538461538464,0.46153846153846156
US,76073.94977322628,76073.94977322628,76073.94977322628,87.81878936487331,33.65380839730282,0.17201645287459455,0.5317560094452223,0.013045498982322868,0.11188037886436848,0.046572751895123166,0.1254226966040034,0.0348253922464221,0.12268218023302402
US-France,144054.0,144054.0,144054.0,88.0,50.0,0.14583333333333334,0.6333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
Ukraine,23467.8,23467.8,23467.8,84.6,13.0,0.19421031746031747,0.5843174603174603,0.0,0.6,0.0,0.0,0.0,0.0
Uruguay,87617.64130434782,87617.64130434782,87617.64130434782,84.47826086956522,25.847058823529412,0.11367780019795123,0.5041202569585194,0.010869565217391304,0.010869565217391304,0.0,0.010869565217391304,0.010869565217391304,0.14130434782608695
